Название: Land Cruiser 200, Цвет: White, Производитель: Toyota, Год выпуска: 2018, Объём двигателя: 4,4

Название: Camry, Цвет: Black, Производитель: Toyota, Год выпуска: 2020, Объём двигателя: 2,5

Название: A6, Цвет: Blue, Производитель: Audi, Год выпуска: 2019, Объём двигателя: 2,0

Название: X5, Цвет: White, Производитель: BMW, Год выпуска: 2021, Объём двигателя: 3,0

Название: Optima, Цвет: Silver, Производитель: Kia, Год выпуска: 2017, Объём двигателя: 2,4

Название: Rio, Цвет: Red, Производитель: Kia, Год выпуска: 2016, Объём двигателя: 1,6

Название: Polo, Цвет: Grey, Производитель: Volkswagen, Год выпуска: 2018, Объём двигателя: 1,6

Название: Passat, Цвет: Blue, Производитель: Volkswagen, Год выпуска: 2019, Объём двигателя: 2,0

Название: Elantra, Цвет: White, Производитель: Hyundai, Год выпуска: 2020, Объём двигателя: 2,0

Название: Tucson, Цвет: Black, Производитель: Hyundai, Год выпуска: 2021, Объём двигателя: 2,4

Название: Qashqai, Цвет: Green, Производитель: Nissan, Год выпуска: 2019, Объём двигателя: 2,0

Название: Pathfinder, Цвет: Grey, Производитель: Nissan, Год выпуска: 2017, Объём двигателя: 3,5

Название: 3008, Цвет: Orange, Производитель: Peugeot, Год выпуска: 2020, Объём двигателя: 1,6

Название: 508, Цвет: Black, Производитель: Peugeot, Год выпуска: 2022, Объём двигателя: 1,6

Название: Logan, Цвет: White, Производитель: Renault, Год выпуска: 2015, Объём двигателя: 1,4

Название: Duster, Цвет: Brown, Производитель: Renault, Год выпуска: 2018, Объём двигателя: 2,0

Название: Model S, Цвет: Red, Производитель: Tesla, Год выпуска: 2021, Объём двигателя: 0,0

Название: Model 3, Цвет: Blue, Производитель: Tesla, Год выпуска: 2022, Объём двигателя: 0,0

Название: Outlander, Цвет: Silver, Производитель: Mitsubishi, Год выпуска: 2020, Объём двигателя: 2,4

Название: Lancer, Цвет: Grey, Производитель: Mitsubishi, Год выпуска: 2016, Объём двигателя: 1,8
